Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1µF,C_0402_1005Metric,135.48,-74,180,top
C2,0.1µF,C_0402_1005Metric,135.48,-73.03,180,top
C3,0.1µF,C_0402_1005Metric,135.48,-72,180,top
C4,0.1µF,C_0402_1005Metric,135.48,-71,180,top
C5,0.1µF,C_0402_1005Metric,135.48,-77,180,top
C6,0.1µF,C_0402_1005Metric,135.48,-76,180,top
C7,0.1µF,C_0402_1005Metric,135.48,-75,180,top
C8,0.1µF,C_0402_1005Metric,135.48,-78,180,top
C9,1µF,C_0402_1005Metric,135.46,-79,180,top
C10,0.1µF,C_0402_1005Metric,128,-81,180,top
C11,0.1µF,C_0402_1005Metric,128,-80,180,top
C12,1µF,C_0402_1005Metric,128,-79,180,top
C13,1µF,C_0402_1005Metric,133.5,-70.5,-90,top
C14,1µF,C_0402_1005Metric,135.48,-70,180,top
C15,33pF,C_0402_1005Metric,134,-98.98,90,top
C16,33pF,C_0402_1005Metric,128,-99,90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,131,-63.8,180,top
J2,Conn_01x20_Pin,PinSocket_1x20_P2.54mm_Vertical,122.12,-62.87,0,top
J3,Conn_01x20_Pin,PinSocket_1x20_P2.54mm_Vertical,139.89,-62.87,0,top
J4,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,128.46,-110.89,90,top
R1,5.1kΩ,R_0402_1005Metric,132.5,-70.5,90,top
R2,5.1kΩ,R_0402_1005Metric,129.5,-73,-90,top
R3,27Ω,R_0402_1005Metric,135,-84.97,180,top
R4,27Ω,R_0402_1005Metric,135,-85.97,180,top
R5,1kΩ,R_0402_1005Metric,130,-96.5,0,top
R6,10kΩ,R_0402_1005Metric,131,-81,180,top
R7,1kΩ,R_0402_1005Metric,134.5,-107,90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,131,-107,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,131,-91,0,top
U2,MCP1700x-330xxTT,SOT-23,127.5625,-71,0,top
U3,W25Q16JVZPIQ_TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,131,-83,0,top
Y1,12_MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,131,-99,0,top
